step,name,x,y,z
8400,Gezegen2,-1.06517,-18.681,0
8450,Merkez,-0.276268,0.269503,0
8450,Gezegen1,-6.0164,8.46778,0
8450,Gezegen2,-0.700051,-18.6922,0
8500,Merkez,-0.279436,0.270316,0
8500,Gezegen1,-6.42513,8.17655,0
8500,Gezegen2,-0.334782,-18.6965,0
8550,Merkez,-0.282619,0.271113,0
8550,Gezegen1,-6.81855,7.86561,0
8550,Gezegen2,0.0305071,-18.6938,0
8600,Merkez,-0.285818,0.271895,0
8600,Gezegen1,-7.19574,7.53579,0
8600,Gezegen2,0.39568,-18.6842,0
8650,Merkez,-0.289032,0.27266,0
8650,Gezegen1,-7.55578,7.18794,0
8650,Gezegen2,0.760603,-18.6676,0
8700,Merkez,-0.292263,0.273408,0
8700,Gezegen1,-7.89782,6.82294,0
8700,Gezegen2,1.12514,-18.6441,0
8750,Merkez,-0.29551,0.274137,0
8750,Gezegen1,-8.22105,6.44174,0
8750,Gezegen2,1.48916,-18.6136,0
8800,Merkez,-0.298773,0.274846,0
8800,Gezegen1,-8.52472,6.0453,0
8800,Gezegen2,1.85252,-18.5763,0
8850,Merkez,-0.302052,0.275536,0
8850,Gezegen1,-8.80812,5.63463,0
8850,Gezegen2,2.21509,-18.532,0
8900,Merkez,-0.305348,0.276204,0
8900,Gezegen1,-9.07058,5.21076,0
8900,Gezegen2,2.57675,-18.4809,0
8950,Merkez,-0.30866,0.27685,0
8950,Gezegen1,-9.31152,4.77476,0
8950,Gezegen2,2.93734,-18.4229,0
9000,Merkez,-0.311988,0.277472,0
9000,Gezegen1,-9.53036,4.3277,0
9000,Gezegen2,3.29675,-18.358,0
9050,Merkez,-0.315333,0.278071,0
9050,Gezegen1,-9.72663,3.87072,0
9050,Gezegen2,3.65483,-18.2864,0
9100,Merkez,-0.318692,0.278645,0
9100,Gezegen1,-9.89987,3.40493,0
9100,Gezegen2,4.01147,-18.2079,0
9150,Merkez,-0.322068,0.279192,0
9150,Gezegen1,-10.0497,2.9315,0
9150,Gezegen2,4.36652,-18.1227,0
9200,Merkez,-0.325458,0.279712,0
9200,Gezegen1,-10.1758,2.45158,0
9200,Gezegen2,4.71985,-18.0308,0
9250,Merkez,-0.328864,0.280204,0
9250,Gezegen1,-10.2779,1.96636,0
9250,Gezegen2,5.07135,-17.9322,0
9300,Merkez,-0.332284,0.280667,0
9300,Gezegen1,-10.3558,1.47701,0
9300,Gezegen2,5.42087,-17.8269,0
9350,Merkez,-0.335717,0.2811,0
9350,Gezegen1,-10.4094,0.98475,0
9350,Gezegen2,5.76829,-17.715,0
9400,Merkez,-0.339164,0.281502,0
9400,Gezegen1,-10.4384,0.490762,0
9400,Gezegen2,6.11348,-17.5966,0
